Enter a street name to search for: Real Estate Search
['0379911', ['Land Class\nCOMMERCL\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'COMMERCL'], ['Soil Class', '4'], ['Deeded Acres', '0.45'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0151726', ['Land Class\nCONDOMIN\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'CONDOMIN'], ['Soil Class', '4'], ['Deeded Acres', '0.00'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0151727', ['Land Class\nCONDOMIN\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'CONDOMIN'], ['Soil Class', '4'], ['Deeded Acres', '0.00'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0151728', ['Land Class\nCONDOMIN\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'CONDOMIN'], ['Soil Class', '4'], ['Deeded Acres', '0.00'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0151729', ['Land Class\nCONDOMIN\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'CONDOMIN'], ['Soil Class', '4'], ['Deeded Acres', '0.00'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0151730', ['Land Class\nCONDOMIN\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'CONDOMIN'], ['Soil Class', '4'], ['Deeded Acres', '0.00'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0064117', ['Land Class\nAC-W/IMP\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'AC-W/IMP'], ['Soil Class', '4'], ['Deeded Acres', '0.11'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0151731', ['Land Class\nCONDOMIN\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'CONDOMIN'], ['Soil Class', '4'], ['Deeded Acres', '0.00'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0073516', ['Land Class\nCOMMERCL\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'COMMERCL'], ['Soil Class', '4'], ['Deeded Acres', '0.17'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0151732', ['Land Class\nCONDOMIN\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'CONDOMIN'], ['Soil Class', '4'], ['Deeded Acres', '0.00'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0151733', ['Land Class\nCONDOMIN\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'CONDOMIN'], ['Soil Class', '4'], ['Deeded Acres', '0.00'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0062084', ['Land Class\nEXEMPT  \n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'EXEMPT'], ['Soil Class', '4'], ['Deeded Acres', '0.59'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
